rank,ps_id,wps_v3,wps_v2,delta,quality,cls,verdict_v3,title,org,theme,innov,feas,impact,demo_ab,team,diff,dataset,mfit
106,SIH26027,5.66,5.43,0.23,6.05,5.85,HIGH RISK,Al-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations on Indian Railways,Ministry of Railways,Transportation & Logistics,5.5,7.0,5.5,6.0,6.5,5.0,5.0,8.5
107,SIH26202,5.66,5.21,0.45,6.3,7.15,HIGH RISK,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,AICTE,Smart Automation,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
108,SIH26228,5.66,5.07,0.59,6.25,8.1,HIGH RISK,"Trustworthy Computer Vision Integrity Assurance for Data, Models and Inference Outputs in Multi-Contributor Pipelines",Ministry of defence (MoD),Blockchain & Cybersecurity,6.5,7.5,5.5,4.5,6.5,5.0,7.0,8.5
109,SIH26106,5.65,5.1,0.55,6.25,7.8,HIGH RISK,"AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform",All India Council for Technical Education (AICTE),Blockchain & Cybersecurity,6.5,5.5,5.5,7.5,7.0,5.0,5.0,8.5
110,SIH26161,5.65,5.03,0.62,6.48,8.15,HIGH RISK,Dam Break Inundation Modelling Using Hydrodynamic Modelling of any River,National Technical Research Organisation (NTRO),Disaster Management,5.5,6.5,8.0,6.0,7.0,5.0,7.0,4.5
111,SIH26143,5.65,4.91,0.74,6.75,8.75,HIGH RISK,Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.,National Technical Research Organisation (NTRO),Disaster Management,6.5,7.5,8.0,4.5,6.5,5.0,7.0,4.5
112,SIH26152,5.63,5.0,0.63,6.68,8.1,HIGH RISK,Social Media Analytics,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,6.5,7.0,6.0,7.5,6.5,5.0,5.0,4.5
113,SIH26076,5.63,4.97,0.66,6.73,8.3,HIGH RISK,Development of personalized homepage for 'Mausam' mobile application:,Ministry of Earth Sciences (MoES),Smart Automation,5.5,7.0,7.5,7.5,7.0,5.0,5.0,4.5
114,SIH26136,5.62,5.28,0.34,6.05,6.35,HIGH RISK,"Startup friendly public procurement mechanism that enables government departments to identify,pilot, procure,and scale innovative solutions from eligible startups",Government Of Maharashtra,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.5,5.0,6.5
115,SIH26155,5.61,5.06,0.55,6.33,7.8,HIGH RISK,AI-Driven Multi-Vendor Network Security Compliance Auditor,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.5,6.0,6.0,7.0,5.0,7.0,4.5
116,SIH26188,5.6,5.03,0.57,6.88,7.9,HIGH RISK,Al-Based Fake Identity & Document Screening System,Ministry of Home Affairs,Blockchain & Cybersecurity,5.5,7.0,8.5,7.5,6.5,4.0,5.0,5.5
117,SIH26091,5.58,5.25,0.33,6.6,6.45,HIGH RISK,AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs,Ministry of Social Justice and Empowerment (MoSJE),"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,6.0,6.0,4.0,5.0,6.5
118,SIH26086,5.58,5.17,0.41,6.45,6.75,HIGH RISK,Hyperlocal Monsoon Onset & Break Prediction System (Block/Village Scale),Ministry of Earth Sciences (MoES),"Agriculture, FoodTech & Rural Development",5.5,7.0,7.5,6.0,6.5,5.0,5.0,4.5
119,SIH26120,5.58,5.09,0.49,6.29,7.4,HIGH RISK,Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.,Oil India Limited,Smart Automation,6.3,7.0,5.5,6.0,6.5,5.0,5.0,7.5
120,SIH26134,5.58,5.06,0.52,6.28,7.6,HIGH RISK,Challenges in aligning skill development programs with industry requirements and emerging job market demands,Government Of Maharashtra,Miscellaneous,5.5,7.0,5.5,7.5,6.5,5.0,5.0,6.5
121,SIH26130,5.58,5.01,0.57,6.33,7.9,HIGH RISK,"Efficiency in streamlining industrial approvals,compliance processes,and access to government support services",Government Of Maharashtra,Miscellaneous,5.5,7.0,5.5,7.5,7.0,5.0,5.0,6.5
122,SIH26024,5.58,4.96,0.62,6.65,8.4,HIGH RISK,AI-Based Smart Governance and Compliance Monitoring System for Coal Mines,Ministry of Coal,Smart Automation,8.0,5.5,5.5,7.5,6.5,4.0,5.0,8.5
123,SIH26160,5.57,5.07,0.5,6.42,7.4,HIGH RISK,AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.0,6.0,7.5,7.0,5.0,5.0,4.5
124,SIH26190,5.57,5.04,0.53,6.48,7.5,HIGH RISK,Secure Digital Document Management System for Legal and Investigation Documents,Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,5.5,8.0,6.0,6.5,5.0,5.0,5.5
125,SIH26044,5.56,5.21,0.35,6.28,6.8,HIGH RISK,"Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement",Ministry of Ayush,Smart Automation,5.0,7.0,6.0,7.5,7.0,4.0,5.0,8.5
126,SIH26192,5.56,5.01,0.55,6.63,7.55,HIGH RISK,Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme,Ministry of Home Affairs,Disaster Management,6.5,7.0,8.0,4.5,6.5,5.0,5.0,5.5
127,SIH26059,5.55,5.12,0.43,6.45,6.95,HIGH RISK,"AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory, and Navigation Decision Support System",Ministry of Earth Sciences (MoES),Transportation & Logistics,5.5,7.0,7.5,6.0,6.5,5.0,5.0,4.5
128,SIH26104,5.54,4.96,0.58,6.15,8.1,HIGH RISK,AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks,All India Council for Technical Education (AICTE),Blockchain & Cybersecurity,6.5,6.0,6.0,6.0,6.0,5.0,5.5,8.5
129,SIH26116,5.54,4.94,0.6,6.05,8.1,HIGH RISK,"Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units).",Autodesk,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.5,5.0,8.5
130,SIH26199,5.54,4.89,0.65,6.3,8.4,HIGH RISK,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.",AICTE,Miscellaneous,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
131,SIH26075,5.52,5.16,0.36,6.58,6.7,HIGH RISK,"Participants are invited to design and develop **CAPACITY CONNECT A Digital Capacity Building and Learning Management Portal** to support organizational training, competency development, and knowledge sharing through a centralized web-based platform.",Ministry of Earth Sciences (MoES),Smart Education,5.0,7.0,7.5,7.5,7.0,4.0,5.0,4.5
132,SIH26183,5.52,5.06,0.46,6.2,7.3,HIGH RISK,Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics,Ministry of Home Affairs,Blockchain & Cybersecurity,5.5,4.5,8.0,7.5,7.0,5.0,5.0,5.5
133,SIH26154,5.52,4.94,0.58,6.42,7.9,HIGH RISK,Gen AI Platform for Automated Content Transformation,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.0,6.0,7.5,7.0,5.0,5.0,4.5
134,SIH26053,5.5,5.29,0.21,5.83,5.85,HIGH RISK,Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception,DRDO,Smart Vehicles,6.5,5.5,5.5,6.0,5.0,5.0,5.0,7.5
135,SIH26125,5.49,5.09,0.4,5.9,7.1,HIGH RISK,"Blockchain-Based Secure Platform for Identity,Access Control, and Digital Asset Management",Bharat Electronics Limited,Blockchain & Cybersecurity,5.5,5.5,5.5,7.5,6.5,5.0,5.0,7.5
136,SIH26070,5.49,4.93,0.56,6.23,7.95,HIGH RISK,"To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite data.",Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,6.0,7.0
137,SIH26171,5.49,4.85,0.64,6.25,8.4,HIGH RISK,On-device Visual Perception for Light-weight Browser Agents,Indian Space Research Organisation(ISRO),Smart Automation,6.5,7.5,5.5,4.5,6.5,5.0,7.0,5.5
138,SIH26127,5.49,4.8,0.69,6.63,8.8,HIGH RISK,City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics,Bharat Electronics Limited,Smart Automation,6.5,7.0,5.5,7.5,7.0,4.0,5.0,7.5
139,SIH26129,5.48,4.98,0.5,6.5,7.7,HIGH RISK,"System integration and interoperability among government digital platforms,resulting in fragmented service delivery",Government Of Maharashtra,Miscellaneous,6.5,6.5,5.5,7.5,7.0,4.0,5.0,6.5
140,SIH26061,5.47,5.2,0.27,6.23,5.95,HIGH RISK,AI-Driven Smart Energy Management System for Polar Research Stations,Ministry of Earth Sciences (MoES),Clean & Green Technology,5.5,7.0,7.5,4.5,6.5,5.0,5.0,4.5
141,SIH26023,5.47,4.99,0.48,6.28,7.7,HIGH RISK,"AI-Powered Geological, Mining and other Reporting Solution for CMPDI/CIL subsidiaries",Ministry of Coal,Smart Automation,5.5,7.0,5.5,7.5,6.5,4.0,5.0,8.5
142,SIH26123,5.47,4.99,0.48,6.1,7.5,HIGH RISK,Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots (AMRs) in Smart Warehouses,Bharat Electronics Limited,Smart Automation,5.5,7.0,5.5,6.0,7.0,5.0,5.0,7.5
143,SIH26169,5.46,4.82,0.64,6.35,8.4,HIGH RISK,Development of an AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile Free Space Optical Communication (FSOC) Terminals,Indian Space Research Organisation(ISRO),Smart Automation,6.5,7.0,5.5,6.0,6.5,5.0,5.5,5.5
144,SIH26153,5.44,4.78,0.66,6.58,8.7,HIGH RISK,AI based Network Attack Forecasting from Network Traffic Data,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,6.5,7.5,6.0,6.0,6.5,4.0,7.0,4.5
145,SIH26146,5.43,4.94,0.49,6.05,7.4,HIGH RISK,AI-Powered Monitoring & Analysis of Bitcoin Transaction Traffic,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,7.5,7.0,5.5,4.5,4.5
146,SIH26051,5.43,4.84,0.59,6.05,8.2,HIGH RISK,Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.,DRDO,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.0,5.5,7.5
147,SIH26080,5.43,4.8,0.63,6.45,8.2,HIGH RISK,Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts,Ministry of Earth Sciences (MoES),Smart Automation,5.5,7.0,7.5,6.0,6.5,5.0,5.0,4.5
148,SIH26121,5.42,5.03,0.39,6.17,7.15,HIGH RISK,eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations,Oil India Limited,Smart Automation,5.0,7.0,5.5,7.5,7.0,4.0,5.0,7.5
149,SIH26122,5.42,4.76,0.66,5.9,8.6,HIGH RISK,Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge),Oil India Limited,Smart Automation,5.0,7.0,5.5,6.0,6.5,5.5,5.5,7.5
150,SIH26068,5.41,4.89,0.52,6.5,7.85,HIGH RISK,"WeatherGPT: Conversational AI for Weather Forecasting, Alerts, and Climate Information",Ministry of Earth Sciences (MoES),Disaster Management,6.5,6.0,7.5,6.0,6.5,4.0,5.0,7.0
151,SIH26114,5.41,4.79,0.62,6.05,8.4,HIGH RISK,Smart City Site Planning using Autodesk Forma Site Design,Autodesk,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.0,5.0,8.5
152,SIH26062,5.39,5.03,0.36,6.08,6.7,HIGH RISK,Integrated Polar Expedition Logistics and Asset Management System,Ministry of Earth Sciences (MoES),Smart Automation,5.5,5.5,7.5,6.0,6.5,5.0,5.0,4.5
153,SIH26126,5.39,4.88,0.51,6.13,7.7,HIGH RISK,Vision Based Autonomous Navigation for Unmanned Ground Vehicle for Outdoor environment,Bharat Electronics Limited,Smart Automation,6.5,7.0,5.5,4.5,6.5,5.0,5.0,7.5
154,SIH26071,5.39,4.83,0.56,6.23,7.95,HIGH RISK,"AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data.",Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,5.0,7.0
155,SIH26072,5.39,4.83,0.56,6.23,7.95,HIGH RISK,"AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data.",Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,5.0,7.0
156,SIH26105,5.39,4.82,0.57,6.17,8.4,HIGH RISK,AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform,All India Council for Technical Education (AICTE),Blockchain & Cybersecurity,5.0,7.0,5.5,7.5,7.0,4.0,5.5,8.5
157,SIH26063,5.38,5.11,0.27,6.35,6.2,HIGH RISK,"Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal",Ministry of Earth Sciences (MoES),Smart Education,5.0,7.0,7.5,6.0,7.0,4.0,5.0,4.5
158,SIH26159,5.35,4.73,0.62,5.95,8.5,HIGH RISK,SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Secure Email Communications,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,6.0,6.0,6.0,7.0,5.0,7.0,4.5
159,SIH26164,5.34,4.82,0.52,6.05,8.1,HIGH RISK,Enterprise Cryptographic Discovery & Analysis Tool (ECDAT),National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,6.5,6.0,6.0,6.0,5.0,4.0,8.0,4.5
160,SIH26066,5.33,4.68,0.65,6.23,8.55,HIGH RISK,OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.,Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,5.0,7.0
161,SIH26157,5.31,4.73,0.58,6.2,8.1,HIGH RISK,Supervisory Analytics Tool for SOC Assessment (SAT-SA),National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.0,6.0,6.0,7.0,5.0,5.0,4.5
162,SIH26067,5.29,4.8,0.49,6.23,7.75,HIGH RISK,Develop a web-based interactive 3D visualization platform that integrates numerical ocean model outputs and in-situ observations.,Ministry of Earth Sciences (MoES),Disaster Management,5.5,5.5,8.0,6.0,7.0,4.0,5.0,7.0
163,SIH26147,5.26,4.94,0.32,5.92,6.5,HIGH RISK,Automated model for analysis of .IQ and .wav files along with signal parameter extraction,National Technical Research Organisation (NTRO),Space Technology,5.5,7.0,6.0,4.5,6.5,5.0,5.0,4.5
164,SIH26170,5.26,4.65,0.61,6.05,8.4,HIGH RISK,AI-Driven Anomaly Detection in Component Burn-In & Screening,Indian Space Research Organisation(ISRO),Smart Automation,5.5,7.0,5.5,6.0,6.5,5.0,5.0,5.5
165,SIH26173,5.24,4.68,0.56,6.08,8.0,HIGH RISK,iTantra -Indian Multilingual TTS & STT Aided Neural Transceiver Radio Access for low bitrate links,Indian Space Research Organisation(ISRO),Smart Automation,6.5,7.0,5.5,4.5,6.0,5.0,5.0,5.5
166,SIH26117,5.19,4.62,0.57,5.8,8.6,HIGH RISK,Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work,Mangalore Refinery and Petrochemicals Limited (MRPL),Smart Automation,5.0,7.5,5.5,4.5,6.5,4.0,7.0,8.5
167,SIH26055,5.18,4.78,0.4,5.68,7.55,HIGH RISK,Smart Scan strategy for Electronic Warfare,DRDO,Robotics and Drones,6.5,6.0,5.5,4.5,4.5,4.0,7.0,7.5
168,SIH26148,5.17,4.74,0.43,5.78,7.4,HIGH RISK,Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,6.0,6.5,5.0,5.0,4.5
169,SIH26156,5.17,4.74,0.43,5.78,7.4,HIGH RISK,Universal Log Pre-processing Framework,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,6.0,6.5,5.0,5.0,4.5
170,SIH26151,5.17,4.54,0.63,6.28,8.7,HIGH RISK,Dark web threat actor de-anonymization,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.0,7.0,6.0,7.5,7.0,4.0,5.0,4.5
171,SIH26095,5.13,4.63,0.5,5.88,8.1,HIGH RISK,Smart Real-Time Monitoring & Inspection Mobile App,Ministry of Social Justice and Empowerment (MoSJE),Smart Automation,4.0,7.0,5.5,7.5,7.0,4.0,5.0,6.5
172,SIH26135,5.13,4.6,0.53,6.05,8.2,HIGH RISK,"Difficulties in tracking employment outcomes,skill gaps, and the impact of skilling initiatives",Government Of Maharashtra,Miscellaneous,5.5,7.0,5.5,6.0,6.5,4.0,5.0,6.5
173,SIH26149,5.13,4.58,0.55,5.83,8.1,HIGH RISK,Design and Development of an Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics and Data Sanitization,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,6.0,7.0,5.0,5.0,4.5
174,SIH26145,5.11,4.62,0.49,5.8,8.1,HIGH RISK,AI-Based Detection of Cyber Threats in Unidirectional IP Traffic,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.0,6.0,6.0,6.0,7.0,4.0,7.0,4.5
175,SIH26150,5.06,4.46,0.6,5.78,8.5,HIGH RISK,"Development of a Multi-Vendor DVR/NVR Forensic Analysis Tool for Standardized Acquisition, Recovery, and Analysis of Surveillance Evidence.",National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,6.0,6.5,5.0,5.0,4.5
