rank,ps_id,wps,quality,cls,verdict,title,org,theme,innov,feas,impact,demo_ab,team,diff,dataset,demox,mfit,expected,submit_by
84,SIH26194,5.33,6.3,6.65,HIGH RISK — Skip or keep only as backup,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,AICTE,Blockchain & Cybersecurity,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,332,Submit by 18 Sep (MEDIUM freeze risk)
85,SIH26053,5.29,5.83,5.85,HIGH RISK — Skip or keep only as backup,Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception,DRDO,Smart Vehicles,6.5,5.5,5.5,6.0,5.0,5.0,5.0,6.0,7.5,292,Submit by 18 Sep (MEDIUM freeze risk)
86,SIH26099,5.29,6.6,8.4,HIGH RISK — Skip or keep only as backup,AI-Driven Standardization and Harmonization of Material Codes Across CPSEs,Ministry of Petroleum & Natural Gas,Smart Automation,6.5,6.5,6.0,7.5,7.0,5.0,7.0,7.5,8.5,420,Submit by 17 Sep (HIGH freeze risk)
87,SIH26136,5.28,6.05,6.35,HIGH RISK — Skip or keep only as backup,"Startup friendly public procurement mechanism that enables government departments to identify,pilot, procure,and scale innovative solutions from eligible startups",Government Of Maharashtra,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.5,5.0,6.0,6.5,317,Submit by 18 Sep (MEDIUM freeze risk)
88,SIH26077,5.26,6.8,7.85,HIGH RISK — Skip or keep only as backup,AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting,Ministry of Earth Sciences (MoES),Disaster Management,6.5,7.0,7.5,6.0,7.0,5.0,6.0,6.0,7.0,392,Submit by 17 Sep (HIGH freeze risk)
89,SIH26078,5.25,7.03,8.35,HIGH RISK — Skip or keep only as backup,AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts,Ministry of Earth Sciences (MoES),Smart Automation,6.5,7.0,7.5,7.5,7.0,5.5,6.0,7.5,4.5,417,Submit by 17 Sep (HIGH freeze risk)
90,SIH26091,5.25,6.6,6.45,HIGH RISK — Skip or keep only as backup,AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs,Ministry of Social Justice and Empowerment (MoSJE),"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,6.0,6.0,4.0,5.0,6.0,6.5,322,Submit by 18 Sep (MEDIUM freeze risk)
91,SIH26090,5.24,6.58,7.35,HIGH RISK — Skip or keep only as backup,AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans,Ministry of Social Justice and Empowerment (MoSJE),Heritage & Culture,6.5,7.0,5.5,7.5,6.5,5.0,5.0,7.5,6.5,367,Submit by 17 Sep (HIGH freeze risk)
92,SIH26084,5.22,7.03,8.45,HIGH RISK — Skip or keep only as backup,"Convective scale nowcasting for Thunderstorms, Hail & Cloudbursts (06 hr)",Ministry of Earth Sciences (MoES),Disaster Management,6.5,7.0,7.5,7.5,7.0,5.0,5.5,7.5,7.0,422,Submit by 17 Sep (HIGH freeze risk)
93,SIH26191,5.22,6.78,7.55,HIGH RISK — Skip or keep only as backup,"Intelligent Identification of Hazard-Based Red Zones, Carrying Capacity Assessment, and Immediate Relocation Needs for Vulnerable Habitations",Ministry of Home Affairs,Disaster Management,5.5,7.0,8.0,7.5,6.5,5.0,5.0,7.5,5.5,377,Submit by 17 Sep (HIGH freeze risk)
94,SIH26044,5.21,6.28,6.8,HIGH RISK — Skip or keep only as backup,"Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement",Ministry of Ayush,Smart Automation,5.0,7.0,6.0,7.5,7.0,4.0,5.0,7.5,8.5,339,Submit by 18 Sep (MEDIUM freeze risk)
95,SIH26056,5.21,6.53,7.8,HIGH RISK — Skip or keep only as backup,Development of a Real-time Airfare Price Index for India through Automated Web Scraping of Airline and Online Travel Aggregator Portals for Augmentation of the Consumer Price Index (CPI).,MoSPI,Smart Automation,5.0,8.0,6.0,7.5,7.0,4.0,7.0,7.5,7.5,390,Submit by 17 Sep (HIGH freeze risk)
96,SIH26202,5.21,6.3,7.15,HIGH RISK — Skip or keep only as backup,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,AICTE,Smart Automation,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,357,Submit by 17 Sep (HIGH freeze risk)
97,SIH26061,5.2,6.23,5.95,HIGH RISK — Skip or keep only as backup,AI-Driven Smart Energy Management System for Polar Research Stations,Ministry of Earth Sciences (MoES),Clean & Green Technology,5.5,7.0,7.5,4.5,6.5,5.0,5.0,4.5,4.5,297,Submit by 18 Sep (MEDIUM freeze risk)
98,SIH26085,5.2,6.73,7.85,HIGH RISK — Skip or keep only as backup,Urban Flood Nowcasting System (Drainage and Rainfall Coupling),Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,7.5,7.0,5.0,5.0,7.5,7.0,392,Submit by 17 Sep (HIGH freeze risk)
99,SIH26060,5.18,7.21,8.2,HIGH RISK — Skip or keep only as backup,Digital Platform for efficient remote management of Indian Antarctic Research Stations,Ministry of Earth Sciences (MoES),Smart Automation,7.3,7.0,7.5,7.5,6.5,5.0,5.0,7.5,4.5,410,Submit by 17 Sep (HIGH freeze risk)
100,SIH26165,5.18,6.33,7.4,HIGH RISK — Skip or keep only as backup,AI/NLP Engine to Detect Serious Injury & Fatality (SIF) Precursors in OIL's Unsafe-Act/Unsafe-Condition and Near-Miss Reports,Oil India Limited,Smart Automation,5.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5,7.5,370,Submit by 17 Sep (HIGH freeze risk)
101,SIH26086,5.17,6.45,6.75,HIGH RISK — Skip or keep only as backup,Hyperlocal Monsoon Onset & Break Prediction System (Block/Village Scale),Ministry of Earth Sciences (MoES),"Agriculture, FoodTech & Rural Development",5.5,7.0,7.5,6.0,6.5,5.0,5.0,6.0,4.5,337,Submit by 18 Sep (MEDIUM freeze risk)
102,SIH26075,5.16,6.58,6.7,HIGH RISK — Skip or keep only as backup,"Participants are invited to design and develop **CAPACITY CONNECT A Digital Capacity Building and Learning Management Portal** to support organizational training, competency development, and knowledge sharing through a centralized web-based platform.",Ministry of Earth Sciences (MoES),Smart Education,5.0,7.0,7.5,7.5,7.0,4.0,5.0,7.5,4.5,335,Submit by 18 Sep (MEDIUM freeze risk)
103,SIH26059,5.12,6.45,6.95,HIGH RISK — Skip or keep only as backup,"AI-Enabled Antarctic Sea-Ice, Iceberg Trajectory, and Navigation Decision Support System",Ministry of Earth Sciences (MoES),Transportation & Logistics,5.5,7.0,7.5,6.0,6.5,5.0,5.0,6.0,4.5,347,Submit by 18 Sep (MEDIUM freeze risk)
104,SIH26182,5.12,6.42,7.7,HIGH RISK — Skip or keep only as backup,Automated Attribution of Unknown Cryptocurrency Wallets to Nearest Virtual Asset Service Providers (VASPs) through Blockchain Intelligence APIs,Ministry of Home Affairs,Blockchain & Cybersecurity,5.0,6.0,8.0,7.5,7.0,5.5,5.0,7.5,5.5,385,Submit by 17 Sep (HIGH freeze risk)
105,SIH26063,5.11,6.35,6.2,HIGH RISK — Skip or keep only as backup,"Integrated Polar Science Outreach, Knowledge Repository and Media Dissemination Portal",Ministry of Earth Sciences (MoES),Smart Education,5.0,7.0,7.5,6.0,7.0,4.0,5.0,6.0,4.5,310,Submit by 18 Sep (MEDIUM freeze risk)
106,SIH26069,5.11,6.67,8.55,HIGH RISK — Skip or keep only as backup,National Weather Big Data Analytics Platform,Ministry of Earth Sciences (MoES),Disaster Management,5.0,7.0,8.0,7.5,7.0,5.0,6.0,7.5,7.0,427,Submit by 17 Sep (HIGH freeze risk)
107,SIH26083,5.1,6.73,8.25,HIGH RISK — Skip or keep only as backup,Extreme Heatwave Early Warning and Human Thermal Stress Index,Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,7.5,7.0,5.0,5.0,7.5,7.0,412,Submit by 17 Sep (HIGH freeze risk)
108,SIH26106,5.1,6.25,7.8,HIGH RISK — Skip or keep only as backup,"AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform",All India Council for Technical Education (AICTE),Blockchain & Cybersecurity,6.5,5.5,5.5,7.5,7.0,5.0,5.0,7.5,8.5,390,Submit by 17 Sep (HIGH freeze risk)
109,SIH26124,5.1,6.63,8.2,HIGH RISK — Skip or keep only as backup,AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet,Bharat Electronics Limited,Smart Automation,6.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5,7.5,410,Submit by 17 Sep (HIGH freeze risk)
110,SIH26163,5.1,6.5,8.6,HIGH RISK — Skip or keep only as backup,Security Assessment of the World Monitor application,National Technical Research Organisation (NTRO),Smart Automation,5.5,7.5,6.0,7.5,6.5,5.0,8.0,7.5,4.5,430,Submit by 17 Sep (HIGH freeze risk)
111,SIH26120,5.09,6.29,7.4,HIGH RISK — Skip or keep only as backup,Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.,Oil India Limited,Smart Automation,6.3,7.0,5.5,6.0,6.5,5.0,5.0,6.0,7.5,370,Submit by 17 Sep (HIGH freeze risk)
112,SIH26125,5.09,5.9,7.1,HIGH RISK — Skip or keep only as backup,"Blockchain-Based Secure Platform for Identity,Access Control, and Digital Asset Management",Bharat Electronics Limited,Blockchain & Cybersecurity,5.5,5.5,5.5,7.5,6.5,5.0,5.0,7.5,7.5,355,Submit by 17 Sep (HIGH freeze risk)
113,SIH26187,5.09,6.85,7.9,HIGH RISK — Skip or keep only as backup,AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.,Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,7.0,8.0,6.0,6.5,5.0,5.0,6.0,5.5,395,Submit by 17 Sep (HIGH freeze risk)
114,SIH26189,5.09,6.85,7.9,HIGH RISK — Skip or keep only as backup,AI-Powered Criminal Network Analysis System,Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,7.0,8.0,6.0,6.5,5.0,5.0,6.0,5.5,395,Submit by 17 Sep (HIGH freeze risk)
115,SIH26081,5.08,6.73,8.35,HIGH RISK — Skip or keep only as backup,Hybrid AI–NWP Multi-Model Forecast Blending System,Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,7.5,7.0,5.0,5.0,7.5,7.0,417,Submit by 17 Sep (HIGH freeze risk)
116,SIH26079,5.07,6.73,8.2,HIGH RISK — Skip or keep only as backup,AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts,Ministry of Earth Sciences (MoES),Smart Automation,5.5,7.0,7.5,7.5,7.0,5.5,5.0,7.5,4.5,410,Submit by 17 Sep (HIGH freeze risk)
117,SIH26160,5.07,6.42,7.4,HIGH RISK — Skip or keep only as backup,AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.0,6.0,7.5,7.0,5.0,5.0,7.5,4.5,370,Submit by 17 Sep (HIGH freeze risk)
118,SIH26228,5.07,6.25,8.1,HIGH RISK — Skip or keep only as backup,"Trustworthy Computer Vision Integrity Assurance for Data, Models and Inference Outputs in Multi-Contributor Pipelines",Ministry of defence (MoD),Blockchain & Cybersecurity,6.5,7.5,5.5,4.5,6.5,5.0,7.0,4.5,8.5,404,Submit by 17 Sep (HIGH freeze risk)
119,SIH26073,5.06,6.5,8.25,HIGH RISK — Skip or keep only as backup,AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS),Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,6.0,7.0,5.5,5.5,6.0,7.0,412,Submit by 17 Sep (HIGH freeze risk)
120,SIH26134,5.06,6.28,7.6,HIGH RISK — Skip or keep only as backup,Challenges in aligning skill development programs with industry requirements and emerging job market demands,Government Of Maharashtra,Miscellaneous,5.5,7.0,5.5,7.5,6.5,5.0,5.0,7.5,6.5,380,Submit by 17 Sep (HIGH freeze risk)
121,SIH26155,5.06,6.33,7.8,HIGH RISK — Skip or keep only as backup,AI-Driven Multi-Vendor Network Security Compliance Auditor,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.5,6.0,6.0,7.0,5.0,7.0,6.0,4.5,390,Submit by 17 Sep (HIGH freeze risk)
122,SIH26183,5.06,6.2,7.3,HIGH RISK — Skip or keep only as backup,Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics,Ministry of Home Affairs,Blockchain & Cybersecurity,5.5,4.5,8.0,7.5,7.0,5.0,5.0,7.5,5.5,365,Submit by 17 Sep (HIGH freeze risk)
123,SIH26092,5.05,6.63,8.2,HIGH RISK — Skip or keep only as backup,AI-Driven Scheme Matching for Marginalized Entrepreneurs,Ministry of Social Justice and Empowerment (MoSJE),Smart Automation,6.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5,6.5,410,Submit by 17 Sep (HIGH freeze risk)
124,SIH26190,5.04,6.48,7.5,HIGH RISK — Skip or keep only as backup,Secure Digital Document Management System for Legal and Investigation Documents,Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,5.5,8.0,6.0,6.5,5.0,5.0,6.0,5.5,375,Submit by 17 Sep (HIGH freeze risk)
125,SIH26057,5.03,7.1,8.55,HIGH RISK — Skip or keep only as backup,AI-Powered Automated Underwater Marine Debris and Anomaly Detection System using Side-Scan Sonar Imagery,Ministry of Earth Sciences (MoES),Disaster Management,8.0,5.5,7.5,7.5,7.0,4.0,5.0,7.5,7.0,427,Submit by 17 Sep (HIGH freeze risk)
126,SIH26062,5.03,6.08,6.7,HIGH RISK — Skip or keep only as backup,Integrated Polar Expedition Logistics and Asset Management System,Ministry of Earth Sciences (MoES),Smart Automation,5.5,5.5,7.5,6.0,6.5,5.0,5.0,6.0,4.5,335,Submit by 18 Sep (MEDIUM freeze risk)
127,SIH26121,5.03,6.17,7.15,HIGH RISK — Skip or keep only as backup,eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations,Oil India Limited,Smart Automation,5.0,7.0,5.5,7.5,7.0,4.0,5.0,7.5,7.5,357,Submit by 17 Sep (HIGH freeze risk)
128,SIH26161,5.03,6.48,8.15,HIGH RISK — Skip or keep only as backup,Dam Break Inundation Modelling Using Hydrodynamic Modelling of any River,National Technical Research Organisation (NTRO),Disaster Management,5.5,6.5,8.0,6.0,7.0,5.0,7.0,6.0,4.5,407,Submit by 17 Sep (HIGH freeze risk)
129,SIH26188,5.03,6.88,7.9,HIGH RISK — Skip or keep only as backup,Al-Based Fake Identity & Document Screening System,Ministry of Home Affairs,Blockchain & Cybersecurity,5.5,7.0,8.5,7.5,6.5,4.0,5.0,7.5,5.5,395,Submit by 17 Sep (HIGH freeze risk)
130,SIH26130,5.01,6.33,7.9,HIGH RISK — Skip or keep only as backup,"Efficiency in streamlining industrial approvals,compliance processes,and access to government support services",Government Of Maharashtra,Miscellaneous,5.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5,6.5,395,Submit by 17 Sep (HIGH freeze risk)
131,SIH26192,5.01,6.63,7.55,HIGH RISK — Skip or keep only as backup,Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme,Ministry of Home Affairs,Disaster Management,6.5,7.0,8.0,4.5,6.5,5.0,5.0,4.5,5.5,377,Submit by 17 Sep (HIGH freeze risk)
132,SIH26152,5.0,6.68,8.1,HIGH RISK — Skip or keep only as backup,Social Media Analytics,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,6.5,7.0,6.0,7.5,6.5,5.0,5.0,7.5,4.5,404,Submit by 17 Sep (HIGH freeze risk)
133,SIH26023,4.99,6.28,7.7,HIGH RISK — Skip or keep only as backup,"AI-Powered Geological, Mining and other Reporting Solution for CMPDI/CIL subsidiaries",Ministry of Coal,Smart Automation,5.5,7.0,5.5,7.5,6.5,4.0,5.0,7.5,8.5,385,Submit by 17 Sep (HIGH freeze risk)
134,SIH26123,4.99,6.1,7.5,HIGH RISK — Skip or keep only as backup,Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots (AMRs) in Smart Warehouses,Bharat Electronics Limited,Smart Automation,5.5,7.0,5.5,6.0,7.0,5.0,5.0,6.0,7.5,375,Submit by 17 Sep (HIGH freeze risk)
135,SIH26129,4.98,6.5,7.7,HIGH RISK — Skip or keep only as backup,"System integration and interoperability among government digital platforms,resulting in fragmented service delivery",Government Of Maharashtra,Miscellaneous,6.5,6.5,5.5,7.5,7.0,4.0,5.0,7.5,6.5,385,Submit by 17 Sep (HIGH freeze risk)
136,SIH26076,4.97,6.73,8.3,HIGH RISK — Skip or keep only as backup,Development of personalized homepage for 'Mausam' mobile application:,Ministry of Earth Sciences (MoES),Smart Automation,5.5,7.0,7.5,7.5,7.0,5.0,5.0,7.5,4.5,415,Submit by 17 Sep (HIGH freeze risk)
137,SIH26024,4.96,6.65,8.4,HIGH RISK — Skip or keep only as backup,AI-Based Smart Governance and Compliance Monitoring System for Coal Mines,Ministry of Coal,Smart Automation,8.0,5.5,5.5,7.5,6.5,4.0,5.0,7.5,8.5,420,Submit by 17 Sep (HIGH freeze risk)
138,SIH26104,4.96,6.15,8.1,HIGH RISK — Skip or keep only as backup,AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks,All India Council for Technical Education (AICTE),Blockchain & Cybersecurity,6.5,6.0,6.0,6.0,6.0,5.0,5.5,6.0,8.5,404,Submit by 17 Sep (HIGH freeze risk)
139,SIH26116,4.94,6.05,8.1,HIGH RISK — Skip or keep only as backup,"Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units).",Autodesk,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.5,5.0,6.0,8.5,404,Submit by 17 Sep (HIGH freeze risk)
140,SIH26146,4.94,6.05,7.4,HIGH RISK — Skip or keep only as backup,AI-Powered Monitoring & Analysis of Bitcoin Transaction Traffic,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,7.5,7.0,5.5,4.5,7.5,4.5,370,Submit by 17 Sep (HIGH freeze risk)
141,SIH26147,4.94,5.92,6.5,HIGH RISK — Skip or keep only as backup,Automated model for analysis of .IQ and .wav files along with signal parameter extraction,National Technical Research Organisation (NTRO),Space Technology,5.5,7.0,6.0,4.5,6.5,5.0,5.0,4.5,4.5,325,Submit by 18 Sep (MEDIUM freeze risk)
142,SIH26154,4.94,6.42,7.9,HIGH RISK — Skip or keep only as backup,Gen AI Platform for Automated Content Transformation,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.0,6.0,7.5,7.0,5.0,5.0,7.5,4.5,395,Submit by 17 Sep (HIGH freeze risk)
143,SIH26070,4.93,6.23,7.95,HIGH RISK — Skip or keep only as backup,"To develop an Artificial Intelligence (AI) / Machine Learning (ML) based system for identification, classification, and prediction of different tropical cyclone patterns using multi-source satellite data.",Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,6.0,4.5,7.0,397,Submit by 17 Sep (HIGH freeze risk)
144,SIH26143,4.91,6.75,8.75,HIGH RISK — Skip or keep only as backup,Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.,National Technical Research Organisation (NTRO),Disaster Management,6.5,7.5,8.0,4.5,6.5,5.0,7.0,4.5,4.5,437,Submit by 17 Sep (HIGH freeze risk)
145,SIH26068,4.89,6.5,7.85,HIGH RISK — Skip or keep only as backup,"WeatherGPT: Conversational AI for Weather Forecasting, Alerts, and Climate Information",Ministry of Earth Sciences (MoES),Disaster Management,6.5,6.0,7.5,6.0,6.5,4.0,5.0,6.0,7.0,392,Submit by 17 Sep (HIGH freeze risk)
146,SIH26199,4.89,6.3,8.4,HIGH RISK — Skip or keep only as backup,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.",AICTE,Miscellaneous,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,420,Submit by 17 Sep (HIGH freeze risk)
147,SIH26126,4.88,6.13,7.7,HIGH RISK — Skip or keep only as backup,Vision Based Autonomous Navigation for Unmanned Ground Vehicle for Outdoor environment,Bharat Electronics Limited,Smart Automation,6.5,7.0,5.5,4.5,6.5,5.0,5.0,4.5,7.5,385,Submit by 17 Sep (HIGH freeze risk)
148,SIH26171,4.85,6.25,8.4,HIGH RISK — Skip or keep only as backup,On-device Visual Perception for Light-weight Browser Agents,Indian Space Research Organisation(ISRO),Smart Automation,6.5,7.5,5.5,4.5,6.5,5.0,7.0,4.5,5.5,420,Submit by 17 Sep (HIGH freeze risk)
149,SIH26051,4.84,6.05,8.2,HIGH RISK — Skip or keep only as backup,Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.,DRDO,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.0,5.5,6.0,7.5,410,Submit by 17 Sep (HIGH freeze risk)
150,SIH26071,4.83,6.23,7.95,HIGH RISK — Skip or keep only as backup,"AI/ML-Based Integrated heavy rainfall Early Warning and Inundation Prediction System using Satellite, Radar, observational Weather and numerical weather prediction model data.",Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,5.0,4.5,7.0,397,Submit by 17 Sep (HIGH freeze risk)
151,SIH26072,4.83,6.23,7.95,HIGH RISK — Skip or keep only as backup,"AIML based Nowcasting of thunderstorm and lightning using atmospheric observation including multiple radars, satellite, lightning and model data.",Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,5.0,4.5,7.0,397,Submit by 17 Sep (HIGH freeze risk)
152,SIH26105,4.82,6.17,8.4,HIGH RISK — Skip or keep only as backup,AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform,All India Council for Technical Education (AICTE),Blockchain & Cybersecurity,5.0,7.0,5.5,7.5,7.0,4.0,5.5,7.5,8.5,420,Submit by 17 Sep (HIGH freeze risk)
153,SIH26164,4.82,6.05,8.1,HIGH RISK — Skip or keep only as backup,Enterprise Cryptographic Discovery & Analysis Tool (ECDAT),National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,6.5,6.0,6.0,6.0,5.0,4.0,8.0,6.0,4.5,404,Submit by 17 Sep (HIGH freeze risk)
154,SIH26169,4.82,6.35,8.4,HIGH RISK — Skip or keep only as backup,Development of an AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile Free Space Optical Communication (FSOC) Terminals,Indian Space Research Organisation(ISRO),Smart Automation,6.5,7.0,5.5,6.0,6.5,5.0,5.5,6.0,5.5,420,Submit by 17 Sep (HIGH freeze risk)
155,SIH26067,4.8,6.23,7.75,HIGH RISK — Skip or keep only as backup,Develop a web-based interactive 3D visualization platform that integrates numerical ocean model outputs and in-situ observations.,Ministry of Earth Sciences (MoES),Disaster Management,5.5,5.5,8.0,6.0,7.0,4.0,5.0,6.0,7.0,387,Submit by 17 Sep (HIGH freeze risk)
156,SIH26080,4.8,6.45,8.2,HIGH RISK — Skip or keep only as backup,Regime-Aware AI Post-Processing of Monsoon Rainfall Forecasts,Ministry of Earth Sciences (MoES),Smart Automation,5.5,7.0,7.5,6.0,6.5,5.0,5.0,6.0,4.5,410,Submit by 17 Sep (HIGH freeze risk)
157,SIH26127,4.8,6.63,8.8,HIGH RISK — Skip or keep only as backup,City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics,Bharat Electronics Limited,Smart Automation,6.5,7.0,5.5,7.5,7.0,4.0,5.0,7.5,7.5,440,Submit by 17 Sep (HIGH freeze risk)
158,SIH26114,4.79,6.05,8.4,HIGH RISK — Skip or keep only as backup,Smart City Site Planning using Autodesk Forma Site Design,Autodesk,Miscellaneous,5.5,7.0,5.5,6.0,6.5,5.0,5.0,6.0,8.5,420,Submit by 17 Sep (HIGH freeze risk)
159,SIH26055,4.78,5.68,7.55,HIGH RISK — Skip or keep only as backup,Smart Scan strategy for Electronic Warfare,DRDO,Robotics and Drones,6.5,6.0,5.5,4.5,4.5,4.0,7.0,4.5,7.5,377,Submit by 17 Sep (HIGH freeze risk)
160,SIH26153,4.78,6.58,8.7,HIGH RISK — Skip or keep only as backup,AI based Network Attack Forecasting from Network Traffic Data,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,6.5,7.5,6.0,6.0,6.5,4.0,7.0,6.0,4.5,434,Submit by 17 Sep (HIGH freeze risk)
161,SIH26122,4.76,5.9,8.6,HIGH RISK — Skip or keep only as backup,Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge),Oil India Limited,Smart Automation,5.0,7.0,5.5,6.0,6.5,5.5,5.5,6.0,7.5,430,Submit by 17 Sep (HIGH freeze risk)
162,SIH26148,4.74,5.78,7.4,HIGH RISK — Skip or keep only as backup,Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,6.0,6.5,5.0,5.0,6.0,4.5,370,Submit by 17 Sep (HIGH freeze risk)
163,SIH26156,4.74,5.78,7.4,HIGH RISK — Skip or keep only as backup,Universal Log Pre-processing Framework,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,5.5,6.0,6.0,6.5,5.0,5.0,6.0,4.5,370,Submit by 17 Sep (HIGH freeze risk)
164,SIH26157,4.73,6.2,8.1,HIGH RISK — Skip or keep only as backup,Supervisory Analytics Tool for SOC Assessment (SAT-SA),National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,7.0,6.0,6.0,7.0,5.0,5.0,6.0,4.5,404,Submit by 17 Sep (HIGH freeze risk)
165,SIH26159,4.73,5.95,8.5,HIGH RISK — Skip or keep only as backup,SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Secure Email Communications,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,5.5,6.0,6.0,6.0,7.0,5.0,7.0,6.0,4.5,425,Submit by 17 Sep (HIGH freeze risk)
166,SIH26066,4.68,6.23,8.55,HIGH RISK — Skip or keep only as backup,OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.,Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,4.5,6.5,5.0,5.0,4.5,7.0,427,Submit by 17 Sep (HIGH freeze risk)
167,SIH26173,4.68,6.08,8.0,HIGH RISK — Skip or keep only as backup,iTantra -Indian Multilingual TTS & STT Aided Neural Transceiver Radio Access for low bitrate links,Indian Space Research Organisation(ISRO),Smart Automation,6.5,7.0,5.5,4.5,6.0,5.0,5.0,4.5,5.5,400,Submit by 17 Sep (HIGH freeze risk)
168,SIH26170,4.65,6.05,8.4,HIGH RISK — Skip or keep only as backup,AI-Driven Anomaly Detection in Component Burn-In & Screening,Indian Space Research Organisation(ISRO),Smart Automation,5.5,7.0,5.5,6.0,6.5,5.0,5.0,6.0,5.5,420,Submit by 17 Sep (HIGH freeze risk)
169,SIH26095,4.63,5.88,8.1,HIGH RISK — Skip or keep only as backup,Smart Real-Time Monitoring & Inspection Mobile App,Ministry of Social Justice and Empowerment (MoSJE),Smart Automation,4.0,7.0,5.5,7.5,7.0,4.0,5.0,7.5,6.5,404,Submit by 17 Sep (HIGH freeze risk)
